"","tnr.test.mean","tpr.test.mean","acc.test.mean","tp.test.mean","fp.test.mean","tn.test.mean","fn.test.mean","ppv.test.mean","f1.test.mean","mmce.test.mean","tnr_train","tpr_train","acc_train","tp_train","fp_train","tn_train","fn_train","ppv_train","f1_train","mmce_train","best_k","predictors","num_predictors"
"2825",0.328571428571429,0.913698630136986,0.819540229885057,66.7,9.4,4.6,6.3,0.877097141228406,0.89433824686277,0.180459770114943,0.785714285714286,0.96986301369863,0.940229885057471,708,30,110,22,0.959349593495935,0.964577656675749,0.0597701149425287,1,"OverTime StockOptionLevel MaritalStatus YearsAtCompany NumCompaniesWorkedB Education",6
"2966",0.328571428571429,0.958904109589041,0.857471264367816,70,9.4,4.6,3,0.881986434663718,0.918662205490305,0.142528735632184,0.4,0.963013698630137,0.872413793103448,703,84,56,27,0.893265565438374,0.926829268292683,0.127586206896552,1,"OverTime JobLevelB MaritalStatus JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB",6
"4868",0.328571428571429,0.941095890410959,0.842528735632184,68.7,9.4,4.6,4.3,0.880100676035635,0.909234858690714,0.157471264367816,0.6,0.96986301369863,0.910344827586207,708,56,84,22,0.926701570680628,0.947791164658635,0.0896551724137931,1,"OverTime JobLevelB MaritalStatus JobSatisfaction JobInvolvementB EnviornmentSatisfactionB Education",7
"6330",0.328571428571429,0.941095890410959,0.842528735632184,68.7,9.4,4.6,4.3,0.879932957806375,0.909334248617623,0.157471264367816,0.742857142857143,0.976712328767123,0.939080459770115,713,36,104,17,0.951935914552737,0.964164976335362,0.0609195402298851,1,"OverTime StockOptionLevel JobLevelB MaritalStatus JobSatisfaction JobInvolvementB NumCompaniesWorkedB Education",8
"6340",0.328571428571429,0.941095890410959,0.842528735632184,68.7,9.4,4.6,4.3,0.879788303468683,0.909344859119058,0.157471264367816,0.457142857142857,0.964383561643836,0.882758620689655,704,76,64,26,0.902564102564103,0.932450331125828,0.117241379310345,1,"OverTime StockOptionLevel JobLevelB MaritalStatus JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB WorkLifeBalanceB",8
"6397",0.328571428571429,0.934246575342466,0.836781609195402,68.2,9.4,4.6,4.8,0.879250031457837,0.905739779182504,0.163218390804598,0.685714285714286,0.967123287671233,0.92183908045977,706,44,96,24,0.941333333333333,0.954054054054054,0.0781609195402299,1,"OverTime StockOptionLevel JobLevelB JobSatisfaction JobInvolvementB EnviornmentSatisfactionB Education WorkLifeBalanceB",8
"6399",0.328571428571429,0.950684931506849,0.850574712643678,69.4,9.4,4.6,3.6,0.880799071641971,0.914142113100301,0.149425287356322,0.521428571428571,0.976712328767123,0.903448275862069,713,67,73,17,0.914102564102564,0.944370860927152,0.096551724137931,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB Education WorkLifeBalanceB",8
"1285",0.321428571428571,0.963013698630137,0.859770114942529,70.3,9.5,4.5,2.7,0.881399739886541,0.920257213157847,0.140229885057471,0.364285714285714,0.965753424657534,0.868965517241379,705,89,51,25,0.887909319899244,0.925196850393701,0.131034482758621,3,"OverTime StockOptionLevel JobLevelB JobInvolvementB EnviornmentSatisfactionB",5
"4680",0.321428571428571,0.953424657534247,0.851724137931035,69.6,9.5,4.5,3.4,0.880158836109747,0.915238332739803,0.148275862068966,0.421428571428571,0.961643835616438,0.874712643678161,702,81,59,28,0.896551724137931,0.927957699933906,0.125287356321839,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB WorkLifeBalanceB",7
"104",0.321428571428571,0.943835616438356,0.84367816091954,68.9,9.5,4.5,4.1,0.87913911134499,0.910148070851196,0.15632183908046,0.321428571428571,0.942465753424658,0.842528735632184,688,95,45,42,0.878671775223499,0.909451421017845,0.157471264367816,7,"OverTime StockOptionLevel MaritalStatus",3
"506",0.321428571428571,0.958904109589041,0.85632183908046,70,9.5,4.5,3,0.880817587443713,0.918026878883595,0.14367816091954,0.371428571428571,0.967123287671233,0.871264367816092,706,88,52,24,0.889168765743073,0.926509186351706,0.128735632183908,1,"OverTime JobLevelB JobInvolvementB Education",4
"536",0.321428571428571,0.934246575342466,0.835632183908046,68.2,9.5,4.5,4.8,0.87842829335694,0.904904652685776,0.164367816091954,0.392857142857143,0.934246575342466,0.847126436781609,682,85,55,48,0.889178617992177,0.911155644622578,0.152873563218391,15,"OverTime MaritalStatus NumCompaniesWorkedB EnviornmentSatisfactionB",4
"2714",0.321428571428571,0.898630136986301,0.805747126436782,65.6,9.5,4.5,7.4,0.87396033750872,0.885706044564824,0.194252873563218,0.685714285714286,0.967123287671233,0.92183908045977,706,44,96,24,0.941333333333333,0.954054054054054,0.0781609195402299,1,"OverTime StockOptionLevel JobLevelB MaritalStatus Age EnviornmentSatisfactionB",6
"2766",0.321428571428571,0.920547945205479,0.824137931034483,67.2,9.5,4.5,5.8,0.876337410521291,0.89761219645852,0.175862068965517,0.735714285714286,0.967123287671233,0.929885057471264,706,37,103,24,0.950201884253028,0.958587915818058,0.0701149425287356,1,"OverTime StockOptionLevel JobLevelB YearsAtCompany JobInvolvementB Education",6
"2790",0.321428571428571,0.941095890410959,0.841379310344828,68.7,9.5,4.5,4.3,0.879013157249471,0.908738350817727,0.158620689655172,0.4,0.973972602739726,0.881609195402299,711,84,56,19,0.894339622641509,0.932459016393443,0.118390804597701,1,"OverTime StockOptionLevel JobLevelB NumCompaniesWorkedB EnviornmentSatisfactionB Education",6
"2792",0.321428571428571,0.950684931506849,0.849425287356322,69.4,9.5,4.5,3.6,0.87984139041981,0.913763243815099,0.150574712643678,0.457142857142857,0.967123287671233,0.885057471264368,706,76,64,24,0.902813299232737,0.933862433862434,0.114942528735632,1,"OverTime StockOptionLevel JobLevelB NumCompaniesWorkedB Education WorkLifeBalanceB",6
"2835",0.321428571428571,0.926027397260274,0.828735632183908,67.6,9.5,4.5,5.4,0.877087728557297,0.900568172105892,0.171264367816092,0.528571428571429,0.971232876712329,0.9,709,66,74,21,0.914838709677419,0.9421926910299,0.1,1,"OverTime StockOptionLevel MaritalStatus JobSatisfaction NumCompaniesWorkedB Education",6
"2906",0.321428571428571,0.93013698630137,0.832183908045977,67.9,9.5,4.5,5.1,0.87731171140794,0.90262874404449,0.167816091954023,0.571428571428571,0.971232876712329,0.906896551724138,709,60,80,21,0.921976592977893,0.945963975983989,0.0931034482758621,1,"OverTime StockOptionLevel JobSatisfaction JobInvolvementB NumCompaniesWorkedB Education",6
"4596",0.321428571428571,0.936986301369863,0.837931034482759,68.4,9.5,4.5,4.6,0.878495870398491,0.906552778353134,0.162068965517241,0.692857142857143,0.973972602739726,0.928735632183908,711,43,97,19,0.942970822281167,0.95822102425876,0.071264367816092,1,"OverTime StockOptionLevel JobLevelB MaritalStatus JobSatisfaction JobInvolvementB Education",7
"4657",0.321428571428571,0.912328767123288,0.817241379310345,66.6,9.5,4.5,6.4,0.875379238225309,0.893168542942616,0.182758620689655,0.735714285714286,0.968493150684931,0.931034482758621,707,37,103,23,0.950268817204301,0.959294436906377,0.0689655172413793,1,"OverTime StockOptionLevel JobLevelB YearsAtCompany JobSatisfaction EnviornmentSatisfactionB WorkLifeBalanceB",7
"4683",0.321428571428571,0.949315068493151,0.848275862068966,69.3,9.5,4.5,3.7,0.879562341409748,0.913037821839703,0.151724137931034,0.457142857142857,0.965753424657534,0.883908045977011,705,76,64,25,0.902688860435339,0.933156849768365,0.116091954022989,1,"OverTime StockOptionLevel JobLevelB NumCompaniesWorkedB EnviornmentSatisfactionB Education WorkLifeBalanceB",7
"6320",0.321428571428571,0.935616438356164,0.836781609195402,68.3,9.5,4.5,4.7,0.878246088786208,0.905765842017072,0.163218390804598,0.835714285714286,0.983561643835616,0.959770114942529,718,23,117,12,0.968960863697706,0.976206662134602,0.0402298850574713,1,"OverTime StockOptionLevel JobLevelB MaritalStatus YearsAtCompany JobInvolvementB NumCompaniesWorkedB Education",8
"6334",0.321428571428571,0.935616438356164,0.836781609195402,68.3,9.5,4.5,4.7,0.878428228339195,0.905731900505535,0.163218390804598,0.714285714285714,0.965753424657534,0.925287356321839,705,40,100,25,0.946308724832215,0.955932203389831,0.0747126436781609,1,"OverTime StockOptionLevel JobLevelB MaritalStatus JobSatisfaction JobInvolvementB Education WorkLifeBalanceB",8
"6339",0.321428571428571,0.946575342465753,0.845977011494253,69.1,9.5,4.5,3.9,0.880111667457912,0.911542953857465,0.154022988505747,0.557142857142857,0.978082191780822,0.910344827586207,714,62,78,16,0.920103092783505,0.948207171314741,0.0896551724137931,1,"OverTime StockOptionLevel JobLevelB MaritalStatus JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB Education",8
"6485",0.321428571428571,0.9,0.806896551724138,65.7,9.5,4.5,7.3,0.873688437548672,0.886290130447568,0.193103448275862,0.985714285714286,0.995890410958904,0.994252873563218,727,2,138,3,0.997256515775034,0.996572995202193,0.00574712643678161,1,"OverTime JobLevelB MaritalStatus Age YearsAtCompany JobSatisfaction JobInvolvementB EnviornmentSatisfactionB",8
"6539",0.321428571428571,0.942465753424658,0.842528735632184,68.8,9.5,4.5,4.2,0.879148136950341,0.909446194935089,0.157471264367816,0.514285714285714,0.972602739726027,0.898850574712644,710,68,72,20,0.912596401028278,0.941644562334218,0.101149425287356,1,"OverTime JobLevelB MaritalStatus JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB Education WorkLifeBalanceB",8
"7474",0.321428571428571,0.93972602739726,0.840229885057471,68.6,9.5,4.5,4.4,0.878588668800926,0.907895410729443,0.159770114942529,0.857142857142857,0.983561643835616,0.963218390804598,718,20,120,12,0.97289972899729,0.978201634877384,0.0367816091954023,1,"OverTime StockOptionLevel JobLevelB MaritalStatus YearsAtCompany JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB Education",9
"17",0.314285714285714,0.946575342465753,0.844827586206897,69.1,9.6,4.4,3.9,0.878633596899864,0.910905617681393,0.155172413793103,0.314285714285714,0.946575342465753,0.844827586206897,691,96,44,39,0.878017789072427,0.911008569545155,0.155172413793103,21,"OverTime MaritalStatus",2
